iter	Passed	Remaining
0	2	232
1	4	199
2	5	182
3	7	173
4	9	172
5	11	172
6	12	170
7	14	166
8	16	162
9	17	158
10	19	156
11	21	155
12	22	152
13	24	148
14	25	145
15	27	142
16	28	139
17	30	136
18	31	133
19	32	131
20	34	129
21	36	128
22	37	127
23	39	125
24	40	122
25	42	120
26	43	118
27	45	116
28	46	113
29	47	111
30	48	108
31	50	106
32	51	104
33	52	102
34	53	100
35	54	97
36	56	95
37	57	93
38	58	91
39	59	88
40	60	86
41	61	84
42	62	82
43	63	80
44	64	78
45	65	76
46	66	74
47	66	72
48	67	70
49	68	68
50	69	66
51	70	65
52	71	63
53	72	61
54	73	60
55	74	58
56	75	56
57	76	55
58	77	53
59	78	52
60	79	50
61	80	49
62	81	47
63	82	46
64	83	44
65	84	43
66	85	42
67	86	40
68	87	39
69	88	38
70	90	36
71	90	35
72	92	34
73	93	32
74	94	31
75	95	30
76	96	28
77	97	27
78	98	26
79	99	24
80	100	23
81	101	22
82	103	21
83	104	19
84	104	18
85	105	17
86	106	15
87	107	14
88	108	13
89	109	12
90	110	10
91	111	9
92	112	8
93	113	7
94	114	6
95	115	4
96	116	3
97	117	2
98	118	1
99	119	0
