iter	Passed	Remaining
0	151	151055
1	153	76444
2	155	51781
3	157	39267
4	159	31789
5	161	26699
6	162	23024
7	163	20274
8	164	18135
9	165	16415
10	169	15225
11	171	14092
12	173	13163
13	174	12293
14	175	11527
15	176	10843
16	177	10237
17	177	9697
18	178	9215
19	179	8781
20	179	8389
21	181	8064
22	183	7803
23	185	7541
24	186	7286
25	187	7037
26	188	6801
27	189	6577
28	190	6370
29	191	6182
30	192	6004
31	193	5841
32	193	5684
33	194	5531
34	196	5405
35	198	5305
36	199	5193
37	200	5086
38	202	4989
39	203	4891
40	204	4788
41	205	4688
42	206	4590
43	207	4498
44	207	4409
45	208	4324
46	210	4259
47	212	4206
48	213	4146
49	214	4081
50	216	4022
51	217	3957
52	217	3893
53	218	3831
54	219	3772
55	220	3714
56	221	3659
57	221	3605
58	223	3562
59	224	3522
60	226	3483
61	227	3446
62	229	3408
63	230	3366
64	231	3325
65	232	3283
66	232	3241
67	233	3200
68	234	3161
69	235	3122
70	235	3086
71	236	3050
72	237	3020
73	239	2994
74	240	2969
75	242	2946
76	243	2921
77	244	2894
78	245	2865
79	246	2835
80	247	2805
81	248	2776
82	248	2744
83	249	2716
84	249	2689
85	250	2663
86	251	2636
87	252	2619
88	254	2602
89	255	2583
90	256	2563
91	257	2543
92	258	2522
93	259	2501
94	260	2480
95	261	2458
96	261	2437
97	262	2416
98	263	2395
99	263	2375
100	264	2354
101	265	2335
102	265	2315
103	267	2302
104	268	2290
105	270	2278
106	271	2264
107	272	2250
108	273	2235
109	274	2220
110	275	2203
111	275	2187
112	276	2172
113	277	2156
114	278	2140
115	278	2125
116	279	2109
117	280	2095
118	281	2087
119	283	2077
120	284	2067
121	285	2054
122	286	2043
123	287	2032
124	288	2019
125	289	2007
126	289	1993
127	290	1980
128	291	1967
129	292	1955
130	292	1942
131	293	1930
132	294	1918
133	294	1906
134	296	1899
135	297	1891
136	298	1883
137	299	1873
138	301	1866
139	302	1856
140	303	1847
141	303	1835
142	304	1824
143	305	1814
144	305	1804
145	306	1794
146	307	1784
147	308	1774
148	308	1764
149	309	1754
150	311	1750
151	312	1744
152	313	1738
153	315	1731
154	316	1724
155	317	1716
156	318	1709
157	319	1700
158	319	1691
159	320	1682
160	320	1672
161	321	1664
162	322	1656
163	323	1647
164	323	1639
165	324	1631
166	326	1626
167	327	1621
168	328	1616
169	329	1610
170	330	1604
171	332	1598
172	332	1591
173	333	1583
174	334	1576
175	335	1568
176	335	1561
177	336	1554
178	337	1546
179	338	1539
180	338	1532
181	340	1528
182	341	1524
183	342	1519
184	343	1514
185	344	1509
186	345	1503
187	346	1498
188	347	1492
189	348	1486
190	349	1479
191	350	1473
192	350	1466
193	351	1460
194	352	1453
195	352	1447
196	353	1441
197	355	1438
198	356	1434
199	357	1429
200	358	1425
201	359	1421
202	360	1416
203	361	1411
204	362	1405
205	363	1400
206	364	1395
207	364	1389
208	365	1384
209	366	1379
210	367	1375
211	369	1372
212	370	1369
213	372	1367
214	373	1363
215	374	1360
216	375	1355
217	376	1351
218	377	1346
219	378	1342
220	379	1337
221	380	1333
222	381	1328
223	382	1323
224	382	1319
225	384	1316
226	385	1314
227	387	1311
228	388	1308
229	389	1305
230	391	1301
231	392	1297
232	392	1293
233	393	1288
234	394	1284
235	395	1279
236	396	1275
237	396	1270
238	397	1266
239	399	1264
240	400	1261
241	401	1258
242	402	1255
243	404	1252
244	405	1248
245	405	1243
246	406	1239
247	407	1235
248	408	1231
249	408	1226
250	409	1222
251	410	1218
252	411	1213
253	411	1209
254	413	1207
255	414	1204
256	415	1202
257	417	1199
258	418	1197
259	419	1194
260	420	1190
261	421	1186
262	421	1182
263	422	1178
264	423	1174
265	424	1170
266	424	1166
267	425	1161
268	426	1158
269	427	1155
270	428	1153
271	429	1150
272	430	1147
273	431	1144
274	432	1141
275	433	1137
276	434	1133
277	435	1130
278	435	1126
279	436	1122
280	437	1119
281	438	1115
282	438	1111
283	439	1108
284	440	1104
285	441	1101
286	442	1099
287	443	1097
288	445	1094
289	446	1092
290	447	1090
291	448	1087
292	449	1084
293	450	1080
294	451	1078
295	451	1074
296	452	1071
297	453	1068
298	454	1064
299	454	1061
300	455	1058
301	456	1056
302	458	1054
303	459	1051
304	460	1048
305	461	1046
306	461	1042
307	462	1039
308	463	1036
309	464	1032
310	464	1029
311	465	1026
312	466	1023
313	466	1020
314	467	1016
315	468	1013
316	468	1010
317	469	1007
318	470	1004
319	472	1003
320	473	1000
321	474	998
322	475	996
323	475	993
324	476	990
325	477	987
326	478	984
327	479	981
328	479	978
329	480	975
330	481	972
331	481	969
332	482	966
333	483	963
334	484	960
335	484	958
336	486	956
337	487	955
338	488	952
339	489	949
340	490	947
341	490	944
342	491	941
343	492	938
344	493	936
345	494	934
346	495	931
347	495	929
348	496	926
349	497	924
350	498	921
351	499	919
352	500	917
353	501	915
354	503	913
355	503	911
356	504	909
357	505	906
358	506	904
359	507	901
360	508	899
361	509	897
362	510	895
363	512	894
364	513	892
365	514	890
366	515	889
367	517	888
368	518	886
369	519	884
370	520	882
371	521	879
372	522	877
373	523	875
374	523	873
375	524	870
376	525	868
377	526	865
378	527	863
379	527	861
380	528	859
381	530	857
382	531	856
383	532	854
384	533	852
385	535	851
386	536	849
387	536	846
388	537	844
389	538	842
390	539	839
391	540	837
392	541	836
393	542	834
394	543	832
395	545	832
396	546	830
397	548	829
398	550	829
399	551	827
400	552	825
401	553	823
402	554	820
403	554	818
404	555	816
405	556	813
406	556	811
407	557	809
408	558	806
409	559	805
410	560	803
411	562	802
412	563	800
413	564	799
414	565	797
415	566	795
416	567	792
417	567	790
418	568	788
419	569	786
420	570	784
421	571	782
422	572	781
423	574	780
424	576	779
425	577	777
426	578	776
427	579	774
428	580	772
429	580	770
430	582	768
431	583	766
432	584	765
433	585	763
434	586	761
435	586	759
436	587	756
437	588	755
438	589	753
439	591	752
440	592	750
441	593	748
442	594	747
443	595	745
444	596	743
445	597	742
446	598	740
447	599	738
448	599	736
449	600	734
450	601	732
451	602	729
452	602	727
453	604	726
454	605	725
455	606	723
456	607	722
457	608	720
458	609	718
459	610	716
460	611	715
461	612	713
462	613	711
463	614	709
464	615	707
465	615	705
466	616	703
467	617	701
468	618	700
469	619	699
470	620	697
471	621	695
472	622	693
473	623	691
474	624	689
475	625	688
476	626	686
477	627	684
478	627	682
479	628	680
480	629	679
481	630	677
482	630	675
483	631	673
484	632	671
485	634	670
486	635	669
487	636	667
488	637	665
489	637	663
490	638	662
491	639	660
492	640	658
493	641	657
494	642	655
495	642	653
496	643	651
497	644	649
498	645	647
499	645	645
500	646	643
501	648	642
502	649	641
503	650	639
504	651	638
505	651	636
506	652	634
507	653	633
508	654	631
509	656	630
510	657	629
511	659	628
512	660	626
513	661	625
514	662	624
515	663	622
516	664	620
517	665	619
518	666	617
519	667	615
520	668	614
521	669	613
522	670	611
523	671	609
524	671	607
525	672	606
526	673	604
527	674	602
528	674	600
529	675	599
530	676	597
531	678	596
532	679	595
533	680	593
534	681	591
535	681	590
536	682	588
537	683	586
538	684	585
539	684	583
540	685	581
541	686	579
542	686	578
543	687	576
544	688	574
545	689	572
546	689	571
547	690	569
548	692	568
549	693	567
550	694	565
551	695	564
552	696	562
553	696	560
554	697	559
555	698	557
556	699	555
557	699	554
558	700	552
559	701	550
560	701	549
561	702	547
562	703	545
563	703	544
564	704	542
565	705	540
566	706	539
567	708	538
568	709	537
569	709	535
570	710	533
571	711	532
572	712	530
573	713	529
574	714	527
575	715	526
576	716	525
577	716	523
578	717	521
579	718	520
580	719	518
581	719	517
582	721	515
583	722	514
584	723	513
585	724	511
586	725	510
587	725	508
588	726	506
589	727	505
590	728	503
591	728	502
592	729	500
593	730	499
594	730	497
595	731	495
596	732	494
597	732	492
598	733	491
599	734	489
600	735	488
601	736	487
602	737	485
603	738	484
604	739	482
605	740	481
